"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","estimate","pval_defier"
"Forest",-3.43788652543248,3.57320124299405,0.000293136662966016,-0.122481426838952,0.000176321767455627,1000,0.5,350,0.175,-0.118474561107875,0.000176321767455627
"Saturated First Stage",-1.80773319845686,1.35440492838672,0.035475720128969,-0.116354805399167,0.0878036130700138,1000,0.5,483,0.2415,-0.118474561107875,0.0878036130700138
"Forest",-4.50512125766131,3.05640187108283,3.31675263826071e-06,-0.542508935291439,0.00112005395930131,1000,0.5,156,0.078,-0.568762192303999,0.00112005395930131
"Saturated First Stage",-2.73877979197824,1.48811595594994,0.0031387457841351,-0.570336716940095,0.0683601581226104,1000,0.5,202,0.101,-0.568762192303999,0.0683601581226104
"Forest",-2.28141342608606,3.77865729739299,0.0112619971533673,0.463630733476009,7.88381206651937e-05,1000,0.5,285,0.1425,0.474996548174849,0.0112619971533673
"Saturated First Stage",-1.34614340930362,2.40776585560435,0.0892822108283227,0.469909919165798,0.0080252356346541,1000,0.5,236,0.118,0.474996548174849,0.0892822108283227
"Forest",-3.56286277724927,1.58312731755365,0.000183416227848047,-0.384402700251151,0.0566962241895167,1000,0.5,291,0.1455,-0.393266984924826,0.0566962241895167
"Saturated First Stage",-1.31807605411362,0.564181381031742,0.0938915394985866,-0.393652731939039,0.286315348894721,1000,0.5,84,0.042,-0.393266984924826,0.286315348894721
"Forest",-3.47448129947347,2.00484304714671,0.000255921019846798,-0.120779061541618,0.0224899144516355,1000,0.5,305,0.1525,-0.203336233816145,0.0224899144516355
"Saturated First Stage",-1.50113258256425,1.07592149366973,0.0668200645353013,-0.2033207379296,0.140981184186317,1000,0.5,308,0.154,-0.203336233816145,0.140981184186317
"Forest",-2.82160496478219,3.85782635141635,0.00238919986955932,0.233143330803958,5.71999376373125e-05,1000,0.5,378,0.189,0.317505507960328,0.00238919986955932
"Saturated First Stage",-2.35120640417524,3.00305203769298,0.00945395944041623,0.319368571116657,0.0013364336190853,1000,0.5,366,0.183,0.317505507960328,0.00945395944041623
"Forest",-3.87958574417931,2.28084832774465,5.23172562408799e-05,-0.369444070398117,0.0112787117477937,1000,0.5,215,0.1075,-0.390037426104491,0.0112787117477937
"Saturated First Stage",-2.52018582361857,1.28041706721462,0.00594279984323343,-0.390295575777876,0.100199247331318,1000,0.5,383,0.1915,-0.390037426104491,0.100199247331318
"Forest",-2.43511393072453,4.72521803712848,0.00744355075221367,0.222619176739233,1.14934291282653e-06,1000,0.5,396,0.198,0.131271816705763,0.00744355075221367
"Saturated First Stage",-2.06822215609699,2.5348106935539,0.0194391886766069,0.131441843933851,0.00562540538596395,1000,0.5,467,0.2335,0.131271816705763,0.0194391886766069
"Forest",-1.45110378583795,4.73136605022352,0.0733754812494154,0.526249248027831,1.11506977854668e-06,1000,0.5,101,0.0505,0.603591253969796,0.0733754812494154
"Saturated First Stage",0.1505606905161,1.47069894442174,0.559823528898756,0.603577672719229,0.0706862759078337,1000,0.5,0,0,0.603591253969796,0.559823528898756
"Forest",-3.58673694359682,2.07303420346475,0.000167420904110058,-0.257487767939377,0.0190845482645242,1000,0.5,352,0.176,-0.14765022118276,0.0190845482645242
"Saturated First Stage",-2.11772272063824,1.68644339158712,0.017223654702537,-0.148251987051393,0.0458552148747057,1000,0.5,430,0.215,-0.14765022118276,0.0458552148747057
"Forest",-2.82933682944047,1.98077178075527,0.0023322289301873,-0.253635820191744,0.0238084363918321,1000,0.5,333,0.1665,-0.252857876871939,0.0238084363918321
"Saturated First Stage",-1.44298531284733,0.804944297359152,0.0746704634030435,-0.252621555597679,0.210425912220101,1000,0.5,251,0.1255,-0.252857876871939,0.210425912220101
"Forest",-2.1959553395935,4.48872453724052,0.014047570071067,0.489135637360937,3.58254380477181e-06,1000,0.5,192,0.096,0.492295011935609,0.014047570071067
"Saturated First Stage",-1.14847411436825,2.62702575310525,0.125525154878671,0.490603326201398,0.00430674074226112,1000,0.5,304,0.152,0.492295011935609,0.125525154878671
"Forest",-4.0886172864886,2.35125095299307,2.16976060743999e-05,-0.166897616259745,0.00935520505965936,1000,0.5,406,0.203,-0.158130983811094,0.00935520505965936
"Saturated First Stage",-1.63828574880309,1.17013662083827,0.0508399257809193,-0.157545023825516,0.120972996655193,1000,0.5,416,0.208,-0.158130983811094,0.120972996655193
"Forest",-3.31885626619072,3.34403615209707,0.000451934704629586,0.0499719784260108,0.000412844884483923,1000,0.5,438,0.219,0.062927160066104,0.000451934704629586
"Saturated First Stage",-2.33434336988541,2.50364341137459,0.00988848670759034,0.0620999062751203,0.00614609262375798,1000,0.5,478,0.239,0.062927160066104,0.00988848670759034
"Forest",-3.06351560298873,2.52998598107558,0.00109376398578406,0.135739118024418,0.00570335420690429,1000,0.5,326,0.163,0.13243395045765,0.00109376398578406
"Saturated First Stage",-1.68868117082522,2.05387724948734,0.0457977292078783,0.132597935479597,0.0199937868907206,1000,0.5,442,0.221,0.13243395045765,0.0457977292078783
"Forest",-3.39642950195245,2.1585570585394,0.000341355705888001,0.0898234924841685,0.0154422736205744,1000,0.5,400,0.2,0.0504667721433209,0.000341355705888001
"Saturated First Stage",-1.92396805232121,2.00460303407157,0.0273225108614617,0.0492751638531923,0.0225027510153746,1000,0.5,466,0.233,0.0504667721433209,0.0273225108614617
"Forest",-2.87506941478378,4.63539627956765,0.00201969341012181,0.351941845889693,1.78127161935257e-06,1000,0.5,247,0.1235,0.342699454813118,0.00201969341012181
"Saturated First Stage",-1.20393890980331,1.94819846521225,0.114450483818892,0.342664889152882,0.0256956102014381,1000,0.5,253,0.1265,0.342699454813118,0.114450483818892
"Forest",-1.9004243242119,4.00843716352165,0.0286887286584147,0.567251190634586,3.05609484520421e-05,1000,0.5,159,0.0795,0.537149527085799,0.0286887286584147
"Saturated First Stage",-1.05326901146488,2.29151292533074,0.146237356797162,0.535876058422128,0.0109668825903474,1000,0.5,173,0.0865,0.537149527085799,0.146237356797162
