"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Forest",-4.93258095587688,12.2202496821322,4.05750640249626e-07,0.981072625601446,1.2116963104184e-34,1203,0.2406,1592,0.3184,1,4.05750640249626e-07,"Medium"
"Saturated First Stage",-1.49071571143123,8.50803528431652,0.0680496779216117,0.9754843463219,8.84526823510454e-18,1203,0.2406,2232,0.4464,1,0.0680496779216117,"Medium"
"Forest",-6.18633470771165,11.4216870222505,3.07895942248339e-10,1.2790408232269,1.62923286199201e-30,994,0.1988,913,0.1826,1,3.07895942248339e-10,"Medium"
"Saturated First Stage",-1.58922456623654,11.2200682626982,0.0560365266820868,1.32240471328574,1.62509733842025e-29,994,0.1988,1216,0.2432,1,0.0560365266820868,"Medium"
"Forest",-4.69030811475782,10.9143232383789,1.36396974981801e-06,1.02737062278652,4.92299347690401e-28,1116,0.2232,943,0.1886,1,1.36396974981801e-06,"Medium"
"Saturated First Stage",-1.28529523378774,7.76351165685561,0.0993743922748312,1.00290336974121,4.13047631644198e-15,1116,0.2232,715,0.143,1,0.0993743922748312,"Medium"
"Forest",-7.48619836346607,12.7489839954549,3.54486087820369e-14,1.03266271822384,1.57917299048356e-37,1337,0.2674,979,0.1958,1,3.54486087820369e-14,"Medium"
"Saturated First Stage",-1.243004726144,8.70788348936927,0.106962246523378,1.01587267616494,1.5480064907888e-18,1337,0.2674,1230,0.246,1,0.106962246523378,"Medium"
"Forest",-2.37256766809755,8.43806500475738,0.00883246352358519,1.02347157130017,1.61317095139028e-17,746,0.1492,632,0.1264,1,0.00883246352358519,"Medium"
"Saturated First Stage",0.617098223320738,6.35882590962104,0.731400952078719,1.08260273843241,1.01650828311918e-10,746,0.1492,0,0,1,0.731400952078719,"Medium"
"Forest",-6.74189553079255,14.0457257810265,7.81667391271511e-12,0.923959504507925,4.0912885388539e-45,1177,0.2354,1434,0.2868,1,7.81667391271511e-12,"Medium"
"Saturated First Stage",-2.62207049600403,9.18003326876672,0.00438314134140543,0.860440330927507,2.15479132153134e-20,1177,0.2354,1697,0.3394,1,0.00438314134140543,"Medium"
"Forest",-3.20334054637467,13.7841887250127,0.000679216211556091,1.17171038435107,1.58656822767242e-43,885,0.177,768,0.1536,1,0.000679216211556091,"Medium"
"Saturated First Stage",-1.12775430339817,9.43618791888456,0.129738959299981,1.1450983927548,1.93294268334088e-21,885,0.177,1148,0.2296,1,0.129738959299981,"Medium"
"Forest",-2.6624519823733,10.6306433022068,0.00387868183262613,0.882686505893188,1.07313432628274e-26,686,0.1372,667,0.1334,1,0.00387868183262613,"Medium"
"Saturated First Stage",0.473941926046494,5.60896168702077,0.682218971928009,0.911871298847332,1.01772036666367e-08,686,0.1372,0,0,1,0.682218971928009,"Medium"
"Forest",-4.74262786116389,11.8717882451951,1.05481796470887e-06,1.08483955542893,8.29417140141753e-33,864,0.1728,848,0.1696,1,1.05481796470887e-06,"Medium"
"Saturated First Stage",-1.16574818636312,7.16408544771119,0.121885994241896,1.02974131853629,3.91537757299889e-13,864,0.1728,1058,0.2116,1,0.121885994241896,"Medium"
"Forest",-6.66128600166022,15.2551039526873,1.35720912313855e-11,0.807663346673818,7.61261796082114e-53,1448,0.2896,1963,0.3926,1,1.35720912313855e-11,"Medium"
"Saturated First Stage",-4.46179025684059,9.91256661558,4.15327868874279e-06,0.737148558085458,1.83546244045487e-23,1448,0.2896,2319,0.4638,1,4.15327868874279e-06,"Medium"
"Forest",-1.48726366504618,11.855759768337,0.0684725935324802,1.23622986228543,1.00446861039209e-32,394,0.0788,262,0.0524,1,0.0684725935324802,"Medium"
"Saturated First Stage",0.981243801451157,8.08769156738292,0.836739950102991,1.20692826387901,3.04030741601857e-16,394,0.0788,0,0,1,0.836739950102991,"Medium"
"Forest",-5.50063428624018,10.0975336049027,1.89213703801526e-08,1.08011479464114,2.83244952888568e-24,1100,0.22,1270,0.254,1,1.89213703801526e-08,"Medium"
