"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","estimate","pval_defier","N"
"Forest",-13.4895044813903,10.7369725980382,9.01541490812552e-42,-0.325959849559164,3.41228348167591e-27,2162,0.2162,2224,0.2224,-0.315036328123558,3.41228348167591e-27,"Medium"
"Saturated First Stage",-11.6511897832313,9.62091513593782,2.83959006339637e-31,-0.271520139652044,3.26240242715699e-22,2162,0.2162,2490,0.249,-0.315036328123558,3.26240242715699e-22,"Medium"
"Forest",-12.9165856554427,5.17930661913903,1.81445245342512e-38,-0.615688061417401,1.11356074117931e-07,1234,0.1234,1647,0.1647,-0.616919036321692,1.11356074117931e-07,"Medium"
"Saturated First Stage",-8.19092310977482,3.89371461681541,1.63157112418792e-16,-0.60120830069087,4.93603909984265e-05,1234,0.1234,1164,0.1164,-0.616919036321692,4.93603909984265e-05,"Medium"
"Forest",-8.89519576972,4.51447134953783,2.91582017659932e-19,-0.392825273875302,3.17374510827596e-06,1664,0.1664,1594,0.1594,-0.384772767865032,3.17374510827596e-06,"Medium"
"Saturated First Stage",-4.15597492822388,1.72975259920795,1.64663429294004e-05,-0.3955239345745,0.041837243305494,1664,0.1664,1284,0.1284,-0.384772767865032,0.041837243305494,"Medium"
"Forest",-1.01435778089444,11.4535096199912,0.155206031064548,1.44062358086093,1.12906955606092e-30,1,1e-04,128,0.0128,1.43889822981084,0.155206031064548,"Medium"
"Saturated First Stage",0.534310349901018,10.2965643764793,0.703424682086801,1.4416876119129,3.65114197998643e-25,1,1e-04,0,0,1.43889822981084,0.703424682086801,"Medium"
"Forest",-7.81910763922734,9.96243870174651,2.65995533103537e-15,0.520322991332516,1.11267912504083e-23,1615,0.1615,1482,0.1482,0.515077797661127,2.65995533103537e-15,"Medium"
"Saturated First Stage",-4.85642849289047,8.0930746471672,6.15871707683364e-07,0.519297667684837,2.90885932545591e-16,1615,0.1615,1722,0.1722,0.515077797661127,6.15871707683364e-07,"Medium"
"Forest",-11.7279800788232,4.41257815442453,4.5809479211099e-32,-0.692837989224123,5.10734514847618e-06,1052,0.1052,1511,0.1511,-0.667827897864774,5.10734514847618e-06,"Medium"
"Saturated First Stage",-7.38002051507862,2.64122502704491,9.22086102669016e-14,-0.647216828368352,0.00413034161767791,1052,0.1052,1787,0.1787,-0.667827897864774,0.00413034161767791,"Medium"
"Forest",-1.72405379681938,11.0467512150846,0.0423490659388932,1.62337270756704,1.13646014518541e-28,13,0.0013,145,0.0145,1.62476832517905,0.0423490659388932,"Medium"
"Saturated First Stage",2.16568725147643,8.11982329385153,0.984808843340385,1.62936480954037,2.33431465983231e-16,13,0.0013,0,0,1.62476832517905,0.984808843340385,"Medium"
"Forest",-5.01298194481019,10.4826314497474,2.67964637048031e-07,0.797501737787355,5.19071274628846e-26,1305,0.1305,1302,0.1302,0.815374079820121,2.67964637048031e-07,"Medium"
"Saturated First Stage",-2.29108509354437,7.96475985389731,0.0109999910338302,0.842819631507898,8.27724771656752e-16,1305,0.1305,963,0.0963,0.815374079820121,0.0109999910338302,"Medium"
"Forest",-5.89346064215281,7.14046634307461,1.89095105508433e-09,0.0647047416141156,4.65074027461349e-13,2609,0.2609,2361,0.2361,0.0798734197133806,1.89095105508433e-09,"Medium"
"Saturated First Stage",-2.8314591760084,3.29098831576157,0.00232608314567361,0.074870535219805,0.00049918029958154,2609,0.2609,1861,0.1861,0.0798734197133806,0.00232608314567361,"Medium"
"Forest",-9.61092270193248,7.73181794423268,3.59508669401221e-22,-0.341177090301804,5.30107475574172e-15,1969,0.1969,1707,0.1707,-0.359097034638326,5.30107475574172e-15,"Medium"
"Saturated First Stage",-5.59290575322829,2.97024363202646,1.17598225680434e-08,-0.37171216241857,0.00148781827993618,1969,0.1969,1407,0.1407,-0.359097034638326,0.00148781827993618,"Medium"
"Forest",-7.81231793734426,17.4784818919851,2.80728564705682e-15,0.962363382617179,1.0449464721543e-68,1409,0.1409,1259,0.1259,0.967908249958077,2.80728564705682e-15,"Medium"
"Saturated First Stage",-5.89803423824055,11.9707942944084,1.96041980626901e-09,0.988328632316226,2.52712178342728e-33,1409,0.1409,1395,0.1395,0.967908249958077,1.96041980626901e-09,"Medium"
"Forest",-7.71418027154143,6.56117316254045,6.08811342630559e-15,0.0304238935021659,2.66930406235038e-11,2686,0.2686,2539,0.2539,0.0266917936641935,6.08811342630559e-15,"Medium"
"Saturated First Stage",-5.4807736770886,5.45905673793844,2.22143421596846e-08,-0.00512791015974634,2.39335394581238e-08,2686,0.2686,2520,0.252,0.0266917936641935,2.22143421596846e-08,"Medium"
"Forest",-10.669244021162,5.61401810205154,7.08875705272208e-27,-0.353212742274895,9.88407603840389e-09,1621,0.1621,1995,0.1995,-0.392424718231969,9.88407603840389e-09,"Medium"
"Saturated First Stage",-5.61611821600484,2.99504778342129,1.02935924668427e-08,-0.392474894947828,0.00137200925743952,1621,0.1621,2385,0.2385,-0.392424718231969,0.00137200925743952,"Medium"
"Forest",-7.35291225333622,6.2692101565326,9.69671285645604e-14,-0.147007052111926,1.81442045179429e-10,2475,0.2475,2131,0.2131,-0.164697131241651,1.81442045179429e-10,"Medium"
"Saturated First Stage",-5.74862538922397,4.65850642544341,4.76595823211445e-09,-0.158112487378064,1.59255933350239e-06,2475,0.2475,2146,0.2146,-0.164697131241651,1.59255933350239e-06,"Medium"
"Forest",-15.0048614516893,8.91604712608297,3.41166375850994e-51,-0.251022160620893,2.4161397422634e-19,2172,0.2172,2171,0.2171,-0.249080946430896,2.4161397422634e-19,"Medium"
"Saturated First Stage",-10.0669968770204,8.18598744164365,6.48635625084863e-24,-0.242630203432044,1.35039949214455e-16,2172,0.2172,2196,0.2196,-0.249080946430896,1.35039949214455e-16,"Medium"
"Forest",-3.72555288694972,12.0483410327142,9.74437923539954e-05,1.10712927171496,9.89463603837657e-34,409,0.0409,499,0.0499,1.09314004850496,9.74437923539954e-05,"Medium"
"Saturated First Stage",-0.119446295372311,6.15597852918289,0.452463296872789,1.05724455592717,3.73076663291165e-10,409,0.0409,267,0.0267,1.09314004850496,0.452463296872789,"Medium"
"Forest",-3.38797772901579,7.4902750720183,0.000352049906204636,0.407965911528428,3.43647083083361e-14,1490,0.149,1417,0.1417,0.382125176832525,0.000352049906204636,"Medium"
"Saturated First Stage",-1.06403917672308,3.40086201070392,0.143681219188996,0.338327549960338,0.000335868634722645,1490,0.149,1792,0.1792,0.382125176832525,0.143681219188996,"Medium"
"Forest",-4.90337286196384,9.33013379706659,4.71024619060418e-07,0.210984484843735,5.28686722136301e-21,1760,0.176,2085,0.2085,0.240672150382038,4.71024619060418e-07,"Medium"
"Saturated First Stage",-2.69734379048952,4.41342963927845,0.00350650039456052,0.247163300246657,5.08728977103232e-06,1760,0.176,1867,0.1867,0.240672150382038,0.00350650039456052,"Medium"
"Forest",-5.43223547872956,8.07330864419389,2.78262075833355e-08,0.331950398225419,3.42091835979898e-16,1498,0.1498,1943,0.1943,0.348750424370225,2.78262075833355e-08,"Medium"
"Saturated First Stage",-3.70405387754113,5.77333575439213,0.000107237775372275,0.35959796204745,3.88586801358992e-09,1498,0.1498,1586,0.1586,0.348750424370225,0.000107237775372275,"Medium"
"Forest",-3.07980230177273,7.08572553644772,0.00103569020064388,0.494450287950494,6.91588516545382e-13,1392,0.1392,1425,0.1425,0.504005986572438,0.00103569020064388,"Medium"
"Saturated First Stage",-1.74480245189511,5.10313098276342,0.0405404114122526,0.518853985959438,1.67039801459217e-07,1392,0.1392,1992,0.1992,0.504005986572438,0.0405404114122526,"Medium"
"Forest",-7.98886323768522,9.68804562245938,6.80943363262644e-16,0.155484490215536,1.69476205134097e-22,2373,0.2373,2380,0.238,0.154150067249255,6.80943363262644e-16,"Medium"
"Saturated First Stage",-5.19707669282706,6.17887713087483,1.05257367655073e-07,0.11636432392469,3.22795568472545e-10,2373,0.2373,2500,0.25,0.154150067249255,1.05257367655073e-07,"Medium"
"Forest",-10.4433154586557,7.18745504000953,7.86108875720277e-26,-0.278740078507083,3.30050640534248e-13,2292,0.2292,2311,0.2311,-0.245869705531446,3.30050640534248e-13,"Medium"
"Saturated First Stage",-7.76444991590822,5.9781728542801,4.94109145308847e-15,-0.240627656951964,1.12827114196707e-09,2292,0.2292,1619,0.1619,-0.245869705531446,1.12827114196707e-09,"Medium"
"Forest",-9.00953333515899,10.582981499419,1.03467578937507e-19,0.245515976029684,1.78700388978369e-26,2221,0.2221,1901,0.1901,0.24673182950433,1.03467578937507e-19,"Medium"
"Saturated First Stage",-5.89412722239593,7.59375177765808,2.00703769457809e-09,0.259509202053245,1.55386728945802e-14,2221,0.2221,2225,0.2225,0.24673182950433,2.00703769457809e-09,"Medium"
"Forest",-2.91114530560173,9.67190181279298,0.00180053253523873,1.04895464071935,1.98466060853542e-22,210,0.021,353,0.0353,1.03143765339723,0.00180053253523873,"Medium"
"Saturated First Stage",-0.0120162287723685,6.55124144922347,0.49520657383213,1.04620729770679,2.85303564791933e-11,210,0.021,273,0.0273,1.03143765339723,0.49520657383213,"Medium"
"Forest",-6.14612200736781,7.48173131969889,3.97001091905929e-10,0.593266649879343,3.66748950215225e-14,384,0.0384,1151,0.1151,0.592916428304489,3.97001091905929e-10,"Medium"
"Saturated First Stage",-2.08797031839101,6.1612976901297,0.0184255484899114,0.604415043092755,3.60756037768132e-10,384,0.0384,1555,0.1555,0.592916428304489,0.0184255484899114,"Medium"
"Forest",-6.47445476795952,6.454122001714,4.75774549555948e-11,0.0943906776490382,5.44240489913625e-11,2728,0.2728,2228,0.2228,0.0894436756289185,4.75774549555948e-11,"Medium"
"Saturated First Stage",-3.72423149191213,4.15857536007189,9.90367059183984e-05,0.0616403712880328,1.60119292680992e-05,2728,0.2728,2405,0.2405,0.0894436756289185,9.90367059183984e-05,"Medium"
"Forest",-3.10564264591798,12.9354436242405,0.000949330091892178,1.21842069008147,1.41989568763505e-38,500,0.05,444,0.0444,1.25257327850729,0.000949330091892178,"Medium"
"Saturated First Stage",-0.22467016815285,8.87508852639487,0.411122536327948,1.2690522896547,3.49389051064034e-19,500,0.05,138,0.0138,1.25257327850729,0.411122536327948,"Medium"
"Forest",-7.53009411436733,7.03526677667189,2.53518817697835e-14,-0.173426970267533,9.94400575190867e-13,2357,0.2357,2181,0.2181,-0.184652304977203,9.94400575190867e-13,"Medium"
"Saturated First Stage",-5.8334954010924,4.72340712802246,2.88493069540868e-09,-0.181247476666981,1.15962948360468e-06,2357,0.2357,2397,0.2397,-0.184652304977203,1.15962948360468e-06,"Medium"
"Forest",-6.26308204740662,7.52121238588465,1.88720946486121e-10,0.319407786000844,2.71353023754189e-14,1957,0.1957,1860,0.186,0.349788762479967,1.88720946486121e-10,"Medium"
"Saturated First Stage",-3.42632692293483,5.24437653744998,0.00030837109747382,0.356454946656912,7.84058335716081e-08,1957,0.1957,710,0.071,0.349788762479967,0.00030837109747382,"Medium"
"Forest",-9.19685643476337,9.98430478742223,1.84287205213819e-20,0.298508324653858,8.92741425610075e-24,2055,0.2055,2155,0.2155,0.314630093775871,1.84287205213819e-20,"Medium"
"Saturated First Stage",-5.99940559413504,8.41943487683931,1.06003687125058e-09,0.318008285602678,1.89152338254624e-17,2055,0.2055,2145,0.2145,0.314630093775871,1.06003687125058e-09,"Medium"
