"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Saturated First Stage",0.388050663352912,9.45348635724299,0.65100659508754,0.997799706808031,1.63864556545162e-21,1926,0.1926,0,0,1,0.65100659508754,"Large"
"Forest",-3.51556595908683,11.9030978260182,0.000219408870950844,1.00480557684612,5.70169987364638e-33,1005,0.1005,1202,0.1202,1,0.000219408870950844,"Large"
"Saturated First Stage",-0.377035434072204,9.78819194631165,0.353077640323019,0.986035664842778,6.32691578900319e-23,1005,0.1005,1207,0.1207,1,0.353077640323019,"Large"
"Forest",-4.21084573795347,10.2301851520498,1.27208217695288e-05,0.927636308045724,7.2620713959429e-25,1279,0.1279,1268,0.1268,1,1.27208217695288e-05,"Large"
"Saturated First Stage",-0.443246028421478,9.04664610682377,0.32879869377674,0.917178535416241,7.3713448228681e-20,1279,0.1279,893,0.0893,1,0.32879869377674,"Large"
"Forest",-7.49459013921234,13.5272379643031,3.32529252555168e-14,1.09766727497653,5.40029970033908e-42,1647,0.1647,1584,0.1584,1,3.32529252555168e-14,"Large"
"Saturated First Stage",-0.252256695336043,10.2557285800139,0.400423923773508,1.10285535334699,5.57658474122104e-25,1647,0.1647,699,0.0699,1,0.400423923773508,"Large"
"Forest",-3.35232669646638,13.797684799175,0.000400676974046257,1.01948407951191,1.31584789146981e-43,946,0.0946,1068,0.1068,1,0.000400676974046257,"Large"
"Saturated First Stage",0.811084113964575,9.24439832400914,0.791331654634257,1.03905095059961,1.18283946833188e-20,946,0.0946,0,0,1,0.791331654634257,"Large"
"Forest",-4.68049792257019,12.3017942875426,1.4308950573843e-06,1.02888817532417,4.42920944353027e-35,1933,0.1933,2103,0.2103,1,1.4308950573843e-06,"Large"
"Saturated First Stage",0.117029029660827,10.5296289141543,0.546580299133856,1.08113791639214,3.15413346774166e-26,1933,0.1933,0,0,1,0.546580299133856,"Large"
"Forest",-8.18508217795339,14.8576920197105,1.36058948493731e-16,1.05832710737166,3.10127255419543e-50,2227,0.2227,2267,0.2267,1,1.36058948493731e-16,"Large"
"Saturated First Stage",-1.46622754961977,11.3353897790286,0.0713088902548406,1.05704341621061,4.38205211709808e-30,2227,0.2227,3631,0.3631,1,0.0713088902548406,"Large"
"Forest",-4.43607711638168,12.1727804578213,4.58065201747989e-06,1.00276232240598,2.17020532259204e-34,1328,0.1328,1564,0.1564,1,4.58065201747989e-06,"Large"
"Saturated First Stage",0.466240660731837,8.45991177190557,0.679473293194802,0.993543354525544,1.33789944184039e-17,1328,0.1328,0,0,1,0.679473293194802,"Large"
"Forest",-6.330550572196,13.5250741763683,1.22143966412123e-10,0.994211528777906,5.56157005991763e-42,2373,0.2373,2191,0.2191,1,1.22143966412123e-10,"Large"
"Saturated First Stage",-2.20764840183547,13.263863533016,0.0136457165411247,1.03255592445037,1.87531844714842e-40,2373,0.2373,2688,0.2688,1,0.0136457165411247,"Large"
"Forest",-4.17040295242952,12.1348609052203,1.52030760587074e-05,0.973460013853316,3.4513598611405e-34,1545,0.1545,1905,0.1905,1,1.52030760587074e-05,"Large"
