"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Saturated First Stage",-32.3295286342914,31.136898336009,1.80000818117014e-218,-0.175842425539268,3.81539774346526e-213,3426,0.3426,4883,0.4883,-1,3.81539774346526e-213,"Large"
"Forest",-42.894147361318,25.8130658455489,0,-2.81735569829805,3.16296528319044e-147,1908,0.1908,3692,0.3692,-1,3.16296528319044e-147,"Large"
"Saturated First Stage",-51.6775060842228,30.7860106284189,0,-2.82839668177205,2.01662008826627e-208,1908,0.1908,4060,0.406,-1,2.01662008826627e-208,"Large"
"Forest",-55.2467989859601,15.9842595646675,0,-5.3075675002523,8.22550024749095e-58,1183,0.1183,2646,0.2646,-1,8.22550024749095e-58,"Large"
"Saturated First Stage",-58.526194806367,10.0383302399258,0,-5.31457643711993,5.17048793977888e-24,1183,0.1183,3408,0.3408,-1,5.17048793977888e-24,"Large"
"Forest",-6.97466868477757,28.3275848605375,1.53296239466521e-12,3.39849469372704,7.90513485286259e-177,782,0.0782,1268,0.1268,1,1.53296239466521e-12,"Large"
"Saturated First Stage",-3.58434994542254,30.8246874700092,0.000169764628047755,3.37857504092866,6.11840525049123e-209,782,0.0782,1367,0.1367,1,0.000169764628047755,"Large"
"Forest",-22.9658128040323,23.785472775891,5.12097409810943e-117,0.237455422157417,2.36081210533242e-125,2632,0.2632,4673,0.4673,1,5.12097409810943e-117,"Large"
"Saturated First Stage",-19.7763104934269,21.5099868000082,1.01259092023196e-85,0.254683547096416,6.27700452225653e-103,2632,0.2632,4934,0.4934,1,1.01259092023196e-85,"Large"
"Forest",-9.4465420870425,47.3241381806189,1.75104493485616e-21,5.94707297762246,0,470,0.047,508,0.0508,1,1.75104493485616e-21,"Large"
"Saturated First Stage",0.0827580961122272,47.8541046394358,0.532977226358011,5.9410826909503,0,470,0.047,0,0,1,0.532977226358011,"Large"
"Forest",-25.6710081240676,16.450768606864,1.23207149639528e-145,-2.37627972862236,4.14053280926042e-61,1851,0.1851,3373,0.3373,-1,4.14053280926042e-61,"Large"
"Saturated First Stage",-24.8832279129287,11.709739030198,5.85195934933307e-133,-2.34699207572693,5.68144103398956e-32,1851,0.1851,4465,0.4465,-1,5.68144103398956e-32,"Large"
"Forest",-11.7747388373266,36.6180090855328,2.63399999027259e-32,4.3896178244091,7.39274820747e-294,881,0.0881,1549,0.1549,1,2.63399999027259e-32,"Large"
"Saturated First Stage",-6.3025639559603,41.6330733282489,1.52559811210882e-10,4.36793701797323,0,881,0.0881,1832,0.1832,1,1.52559811210882e-10,"Large"
"Forest",-19.2395776241344,39.2613803893575,8.63045820507868e-83,3.67958017747556,0,1528,0.1528,3009,0.3009,1,8.63045820507868e-83,"Large"
"Saturated First Stage",-12.6053087009616,37.3909783698885,1.85886145152011e-36,3.73730355026027,2.73826566094263e-306,1528,0.1528,3524,0.3524,1,1.85886145152011e-36,"Large"
"Forest",-43.5283215870255,28.4626204662081,0,-1.31013640595315,1.70063864934062e-178,3106,0.3106,4480,0.448,-1,1.70063864934062e-178,"Large"
"Saturated First Stage",-47.5837421924906,37.4278921186883,0,-1.36019719640818,6.87575876010657e-307,3106,0.3106,4416,0.4416,-1,6.87575876010657e-307,"Large"
"Forest",-31.0521540291822,23.7751162006732,5.33486543634237e-212,-3.20137091639206,3.02140533190441e-125,1528,0.1528,2904,0.2904,-1,3.02140533190441e-125,"Large"
"Saturated First Stage",-32.0471786822015,13.6213916972629,6.83683376917205e-215,-3.15775174359825,1.49409274784394e-42,1528,0.1528,3644,0.3644,-1,1.49409274784394e-42,"Large"
"Forest",-32.4307041687805,32.6641834365649,5.06765064758262e-231,0.72692862474324,2.52015196366515e-234,4930,0.493,4822,0.4822,1,5.06765064758262e-231,"Large"
"Saturated First Stage",-22.0727942788488,26.2505889916579,9.32086382385006e-106,0.655257870564288,3.51890554422277e-152,4930,0.493,5001,0.5001,1,9.32086382385006e-106,"Large"
"Forest",-40.7951869898328,14.2180791678976,0,-3.97005487633159,3.53844300133363e-46,1411,0.1411,2426,0.2426,-1,3.53844300133363e-46,"Large"
"Saturated First Stage",-44.4521672313758,14.3724980658589,0,-3.91778584538529,3.85014272120661e-47,1411,0.1411,2588,0.2588,-1,3.85014272120661e-47,"Large"
"Forest",-36.84391211449,2.28517663490453,1.83029732704905e-297,-5.53603113879592,0.011151236329511,303,0.0303,238,0.0238,-1,0.011151236329511,"Large"
"Saturated First Stage",-31.8669090834964,-3.5720583878648,1.27922689434905e-212,-5.54049869287338,0.999822906791388,303,0.0303,0,0,-1,0.999822906791388,"Large"
"Forest",-17.1965363100185,17.0280411162132,1.40943038676694e-66,0.22097207486392,2.54395343753275e-65,2765,0.2765,4955,0.4955,-1,2.54395343753275e-65,"Large"
"Saturated First Stage",-14.1971654664284,16.4603773198415,1.31371395533146e-45,0.327097298863027,3.53293127793532e-61,2765,0.2765,5000,0.5,-1,3.53293127793532e-61,"Large"
"Forest",-20.7441304123982,22.7596935162295,6.92531311896003e-96,1.54842105782358,5.75236044411078e-115,3763,0.3763,3474,0.3474,1,6.92531311896003e-96,"Large"
"Saturated First Stage",-12.2177671158253,23.9031994353348,2.1860138704517e-34,1.6834917025092,1.41843852384183e-126,3763,0.3763,3957,0.3957,1,2.1860138704517e-34,"Large"
"Forest",-30.2792704405975,39.7531610915021,1.07466057247047e-201,2.43915792763865,0,2498,0.2498,3857,0.3857,1,1.07466057247047e-201,"Large"
"Saturated First Stage",-23.8540173146815,41.8252915733399,1.16273211065235e-122,2.40991867018872,0,2498,0.2498,3961,0.3961,1,1.16273211065235e-122,"Large"
