"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Forest",-16.3081191849842,35.8679330556342,4.32063743314259e-60,3.78597311686516,4.83135704489318e-282,822,0.1644,1258,0.2516,1,4.32063743314259e-60,"Medium"
"Saturated First Stage",-7.57136866361248,27.0425123489591,2.18667726453854e-14,3.73925470621977,2.33906533179584e-161,822,0.1644,1305,0.261,1,2.18667726453854e-14,"Medium"
"Forest",-26.6685056069333,23.8016261126758,5.45995726022497e-157,0.114650723993448,1.60638118285847e-125,1422,0.2844,2414,0.4828,1,5.45995726022497e-157,"Medium"
"Saturated First Stage",-22.0345771857324,22.7399907235974,4.63561948391485e-103,0.163564707841986,9.01336478814291e-115,1422,0.2844,2490,0.498,1,4.63561948391485e-103,"Medium"
"Forest",-5.7071077528958,24.1072472258951,5.74560203373993e-09,3.1176773759444,1.0492158716612e-128,451,0.0902,421,0.0842,1,5.74560203373993e-09,"Medium"
"Saturated First Stage",-1.83873993018692,14.3514929549221,0.0330064188174076,3.1975683818728,5.21341038635422e-47,451,0.0902,130,0.026,1,0.0330064188174076,"Medium"
"Forest",-3.08026634760543,19.2189276715887,0.00103407777582116,3.17946127386749,1.28513505072659e-82,899,0.1798,306,0.0612,1,0.00103407777582116,"Medium"
"Saturated First Stage",-1.68533950881414,15.010177196272,0.0459928063440021,3.15189438236329,3.1489617986432e-51,899,0.1798,113,0.0226,1,0.0459928063440021,"Medium"
"Forest",-10.2389937412944,23.5109605364302,6.63041794725769e-25,3.10751854113421,1.57545236162574e-122,693,0.1386,1293,0.2586,1,6.63041794725769e-25,"Medium"
"Saturated First Stage",-6.57576769397499,20.1169333321799,2.66774726130048e-11,2.85856035170713,2.62268509074267e-90,693,0.1386,1878,0.3756,1,2.66774726130048e-11,"Medium"
"Forest",-30.3720101041358,35.8656311765922,6.43488429968199e-203,1.64609730953644,5.24750362291108e-282,2162,0.4324,2080,0.416,1,6.43488429968199e-203,"Medium"
"Saturated First Stage",-23.3820075836998,31.5074747335037,3.97969791030793e-115,1.6553545008244,3.43116577447239e-218,2162,0.4324,2089,0.4178,1,3.97969791030793e-115,"Medium"
"Forest",-40.3317377141391,9.4416919328611,0,-5.96544913531383,1.83403926598966e-21,500,0.1,884,0.1768,-1,1.83403926598966e-21,"Medium"
"Saturated First Stage",-30.3276430495327,7.31885177955463,7.05222304172048e-186,-5.86450922855186,1.25050825419875e-13,500,0.1,556,0.1112,-1,1.25050825419875e-13,"Medium"
"Forest",-25.4594252055288,45.4888710448442,2.77580551375999e-143,3.84933190540558,0,839,0.1678,1511,0.3022,1,2.77580551375999e-143,"Medium"
