"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","estimate","pval_defier","N"
"Saturated First Stage",-7.18510913159761,4.4840863697323,3.59762202197539e-13,-0.271210277885576,3.66134999722407e-06,4057,0.20285,5000,0.25,-0.273454042613286,3.66134999722407e-06,"Large"
"Forest",-13.2135612732909,10.3589020656611,3.66369829240813e-40,-0.284488214588757,1.90656884617816e-25,4249,0.21245,3866,0.1933,-0.292335426303654,1.90656884617816e-25,"Large"
"Saturated First Stage",-11.6127007168929,8.48972145454726,2.80705275539857e-31,-0.285466273928289,1.03566477482451e-17,4249,0.21245,3393,0.16965,-0.292335426303654,1.03566477482451e-17,"Large"
"Forest",-13.4036174351909,4.23317214698538,2.87932163333055e-41,-0.950403407134339,1.15208996536781e-05,2585,0.12925,1943,0.09715,-0.944593234996024,1.15208996536781e-05,"Large"
"Saturated First Stage",-11.6205914149042,2.58008713731817,2.5626268697579e-31,-0.953026203232567,0.00493876938904441,2585,0.12925,1408,0.0704,-0.944593234996024,0.00493876938904441,"Large"
"Forest",-8.56577745001809,7.92405127893605,5.36745234124358e-18,-0.30045807050932,1.14947372666896e-15,3746,0.1873,3177,0.15885,-0.30197127991599,1.14947372666896e-15,"Large"
"Saturated First Stage",-7.55951900994455,5.31126391986904,2.20060666653613e-14,-0.278457742071542,5.44337671937595e-08,3746,0.1873,3929,0.19645,-0.30197127991599,5.44337671937595e-08,"Large"
"Forest",-1.92054642175827,11.2993127314629,0.0273944576826752,1.33661728552076,6.61244568140677e-30,0,0,208,0.0104,1.32693909214286,0.0273944576826752,"Large"
"Saturated First Stage",2.30462589943585,10.2172958928955,0.989396029783393,1.31940004436232,8.29521813370289e-25,0,0,0,0,1.32693909214286,0.989396029783393,"Large"
"Forest",-8.81654066787273,12.5719285719889,5.90251676097299e-19,0.535670716603367,1.50641774508676e-36,3702,0.1851,3861,0.19305,0.516009348068573,5.90251676097299e-19,"Large"
"Saturated First Stage",-6.90679355171126,12.6570930345984,2.62963019355391e-12,0.527553887637549,5.11073132353796e-37,3702,0.1851,3747,0.18735,0.516009348068573,2.62963019355391e-12,"Large"
"Forest",-9.25119507537507,3.21530740228672,1.10998244989166e-20,-0.702329250435764,0.000651524507646947,1032,0.0516,1779,0.08895,-0.738625468562971,0.000651524507646947,"Large"
"Saturated First Stage",-6.84448744994298,0.680729312887657,4.06287561826681e-12,-0.716349249428785,0.248021392431103,1032,0.0516,1193,0.05965,-0.738625468562971,0.248021392431103,"Large"
"Forest",-1.92517760998004,13.006989751496,0.0271035710942099,1.48778783258859,5.58271996719648e-39,633,0.03165,169,0.00845,1.47699764251136,0.0271035710942099,"Large"
"Saturated First Stage",1.14133263075411,12.2573512074467,0.873120557211513,1.48281264908801,7.67168236234479e-35,633,0.03165,0,0,1.47699764251136,0.873120557211513,"Large"
"Forest",-5.94054455202587,12.489324840612,1.42038419739403e-09,0.441769704713322,4.26875304220311e-36,2700,0.135,4086,0.2043,0.456137842019961,1.42038419739403e-09,"Large"
"Saturated First Stage",-4.37200383397023,8.7790408086779,6.21786651149486e-06,0.438782726045335,8.24373515035888e-19,2700,0.135,4483,0.22415,0.456137842019961,6.21786651149486e-06,"Large"
"Forest",-11.4185636352361,7.67118307637717,1.68885062668412e-30,-0.148272540583701,8.52085506535313e-15,4803,0.24015,4925,0.24625,-0.146362742873844,8.52085506535313e-15,"Large"
"Saturated First Stage",-9.1432300493015,7.35512941144493,3.62141775196848e-20,-0.153121481001306,9.53711157979755e-14,4803,0.24015,4569,0.22845,-0.146362742873844,9.53711157979755e-14,"Large"
"Forest",-9.06884721488106,6.06251162429899,6.01414076158156e-20,-0.315749098277437,6.7006059631529e-10,3816,0.1908,3725,0.18625,-0.31042819453829,6.7006059631529e-10,"Large"
"Saturated First Stage",-7.31356646479571,4.53993062623223,1.40060777417064e-13,-0.308960658574883,2.8136370081521e-06,3816,0.1908,3368,0.1684,-0.31042819453829,2.8136370081521e-06,"Large"
"Forest",-4.35361513978001,12.4587522033228,6.69553557843896e-06,1.06357276643495,6.26580066170675e-36,1037,0.05185,1509,0.07545,1.07560561551821,6.69553557843896e-06,"Large"
"Saturated First Stage",-0.775657024949953,11.447942368271,0.218984940795025,1.06370377819053,1.20396708650697e-30,1037,0.05185,1978,0.0989,1.07560561551821,0.218984940795025,"Large"
"Forest",-8.05791100478719,7.60511441913849,3.88046430477831e-16,-0.211309962977691,1.42325971031435e-14,4569,0.22845,4084,0.2042,-0.213973902397319,1.42325971031435e-14,"Large"
"Saturated First Stage",-6.53199904340201,4.89194971277198,3.40285880055253e-11,-0.201354108947089,4.99209787179072e-07,4569,0.22845,4776,0.2388,-0.213973902397319,4.99209787179072e-07,"Large"
"Forest",-8.68942433724178,6.84233457287853,1.82140304577638e-18,-0.228324884203683,3.89564277165923e-12,3063,0.15315,4221,0.21105,-0.218479322283268,3.89564277165923e-12,"Large"
