"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","estimate","pval_defier","N"
"Saturated First Stage",-2.624980525444,5.74885690828001,0.00439946914799182,1.15955605988564,4.49244078237431e-09,114,0.057,173,0.0865,1.11296134759955,0.00439946914799182,"Small"
"Forest",-5.329978112493,2.36739823104195,4.91123019102066e-08,-0.742732663048904,0.00895682296476977,276,0.138,207,0.1035,-0.778394176349997,0.00895682296476977,"Small"
"Saturated First Stage",-3.65716745256456,1.9042560070315,0.000134224177679407,-0.747682598807838,0.0284384253590041,276,0.138,299,0.1495,-0.778394176349997,0.0284384253590041,"Small"
"Forest",-7.5312864862345,4.1009468973637,2.51214079095028e-14,-0.585772751473595,2.05731491534446e-05,409,0.2045,386,0.193,-0.509974559410577,2.05731491534446e-05,"Small"
"Saturated First Stage",-4.17291023819054,2.83917406501534,1.63580953080861e-05,-0.494670035854761,0.00226152381877522,409,0.2045,474,0.237,-0.509974559410577,0.00226152381877522,"Small"
"Forest",-4.5747599490907,5.99392447628704,2.3838315789918e-06,0.258577480108761,1.02418265123004e-09,437,0.2185,437,0.2185,0.28257458978222,2.3838315789918e-06,"Small"
"Saturated First Stage",-3.05290717359645,4.23330263068564,0.00116344085307642,0.358478137412505,1.15142143229707e-05,437,0.2185,500,0.25,0.28257458978222,0.00116344085307642,"Small"
"Forest",-3.19992930383803,4.92219753470392,0.000687306502867663,0.242059965515135,4.27888840359366e-07,616,0.308,425,0.2125,0.173135437696476,0.000687306502867663,"Small"
"Saturated First Stage",-2.51267435970785,3.10149014848711,0.00606999110845068,0.187565162944451,0.00096274639611734,616,0.308,500,0.25,0.173135437696476,0.00606999110845068,"Small"
"Forest",-7.62010279441984,3.5937155022422,1.2673689011028e-14,-0.779055139965652,0.000162997891261803,333,0.1665,263,0.1315,-0.779066616261972,0.000162997891261803,"Small"
"Saturated First Stage",-4.64012253582232,2.29621051436997,1.97473736654293e-06,-0.782702284366368,0.0108319238268494,333,0.1665,267,0.1335,-0.779066616261972,0.0108319238268494,"Small"
"Forest",-3.41269821866235,8.46753155795732,0.000321615646485407,0.754371654324557,1.25324013877222e-17,329,0.1645,318,0.159,0.756998972502849,0.000321615646485407,"Small"
"Saturated First Stage",-1.97987666953681,4.33845954535418,0.0239969870026941,0.77208363589903,7.17424446287438e-06,329,0.1645,359,0.1795,0.756998972502849,0.0239969870026941,"Small"
"Forest",-3.33822902731423,2.05360735416365,0.00042157111166754,-0.289065332005458,0.0200068548966725,353,0.1765,338,0.169,-0.286107854787343,0.0200068548966725,"Small"
"Saturated First Stage",-1.42338609196106,0.642808854421459,0.0774696605257059,-0.282632588433661,0.26017406850475,353,0.1765,315,0.1575,-0.286107854787343,0.26017406850475,"Small"
"Forest",-5.27877277176515,4.5776213709523,6.50259789834598e-08,-0.0656136589166347,2.35146465602721e-06,441,0.2205,441,0.2205,-0.051704501367093,2.35146465602721e-06,"Small"
"Saturated First Stage",-2.70769089564793,2.73285359616307,0.00344602372173569,0.00709665828261681,0.00313941174328464,441,0.2205,488,0.244,-0.051704501367093,0.00313941174328464,"Small"
"Forest",-6.53509681574975,0.479069176693227,3.17842032429123e-11,-1.44687865475269,0.315944708374023,194,0.097,14,0.007,-1.45196983378952,0.315944708374023,"Small"
"Saturated First Stage",-3.35952342409861,-0.815370262446848,0.000405281836703911,-1.49903420934004,0.792569799498781,194,0.097,0,0,-1.45196983378952,0.792569799498781,"Small"
"Forest",-4.95465875194422,5.10838836727947,3.62286693619793e-07,-0.104404304253407,1.62459139002911e-07,408,0.204,499,0.2495,-0.151580819359718,1.62459139002911e-07,"Small"
"Saturated First Stage",-2.28462176807656,1.63670546665553,0.0112729441689684,-0.20840061519563,0.0508460130943738,408,0.204,500,0.25,-0.151580819359718,0.0508460130943738,"Small"
"Forest",0.466891202110475,14.2127917036525,0.679711139950374,1.84850282383325,3.816061103167e-46,0,0,0,0,1.71042450974257,0.679711139950374,"Small"
"Saturated First Stage",0.0459112670639531,4.48164556333389,0.518304883565647,1.75887028143252,3.70348427481172e-06,0,0,0,0,1.71042450974257,0.518304883565647,"Small"
"Forest",-5.20126843640351,8.48436098417497,9.89664878282345e-08,0.727805945371564,1.08453706076949e-17,361,0.1805,270,0.135,0.704014021475111,9.89664878282345e-08,"Small"
"Saturated First Stage",-1.88215851645922,3.91564797610072,0.0300538092066348,0.72751656410334,4.50808617750588e-05,361,0.1805,341,0.1705,0.704014021475111,0.0300538092066348,"Small"
"Forest",-4.79257822543996,1.49793601574021,8.2325769602691e-07,-0.798610382311072,0.0670749375965504,123,0.0615,156,0.078,-0.784172396847891,0.0670749375965504,"Small"
"Saturated First Stage",-3.48482295386002,2.16257293243612,0.000257021182932769,-0.789242915178655,0.0152870209934766,123,0.0615,161,0.0805,-0.784172396847891,0.0152870209934766,"Small"
"Forest",-2.53125160999966,7.05652498565514,0.00568281428229394,0.833870434875291,8.53589781959112e-13,48,0.024,189,0.0945,0.842491557744137,0.00568281428229394,"Small"
"Saturated First Stage",-2.0717229757924,4.3846644147746,0.0192748986484433,0.877001505190346,5.80823590257996e-06,48,0.024,256,0.128,0.842491557744137,0.0192748986484433,"Small"
"Forest",-3.03714032552461,8.91221275855243,0.00119417121446625,0.631413278656063,2.50120123895399e-19,265,0.1325,376,0.188,0.698801008999388,0.00119417121446625,"Small"
"Saturated First Stage",-1.64412019186659,3.50158605627887,0.0502344333198033,0.624838200347529,0.000231248790418648,265,0.1325,386,0.193,0.698801008999388,0.0502344333198033,"Small"
"Forest",-5.94061972543598,4.80013442377055,1.41973296483117e-09,0.196558305305441,7.92795830971412e-07,527,0.2635,312,0.156,0.130060924394969,1.41973296483117e-09,"Small"
"Saturated First Stage",-1.63240174439991,2.08553479020104,0.0514564413583804,0.143703189653792,0.0185103917933013,527,0.2635,478,0.239,0.130060924394969,0.0514564413583804,"Small"
"Forest",-2.54825508448567,2.72278075779872,0.00541316380973826,-0.172098188386122,0.00323675011049687,355,0.1775,359,0.1795,-0.163649165287569,0.00323675011049687,"Small"
"Saturated First Stage",-1.81013789792249,1.12272419766935,0.0352887565443087,-0.304847530673768,0.130777323880494,355,0.1775,413,0.2065,-0.163649165287569,0.130777323880494,"Small"
"Forest",-1.25506215160579,8.89336433236361,0.104728099358273,1.04778690806675,2.96430163558195e-19,170,0.085,125,0.0625,1.01482296743743,0.104728099358273,"Small"
"Saturated First Stage",-1.60205017059197,4.31140194909648,0.0547317579035111,0.990273171269572,8.11113536069548e-06,170,0.085,206,0.103,1.01482296743743,0.0547317579035111,"Small"
"Forest",-8.1114532727588,4.02108549427187,2.50089476716952e-16,-0.287073512284713,2.896528675838e-05,497,0.2485,540,0.27,-0.242535706588873,2.896528675838e-05,"Small"
"Saturated First Stage",-3.18992103464811,2.56716393284998,0.000733922096731971,-0.205661626828428,0.00512670627093527,497,0.2485,491,0.2455,-0.242535706588873,0.00512670627093527,"Small"
"Forest",-6.66314983446639,1.93311975757281,1.34010080148423e-11,-0.831204718899584,0.0266107233490001,352,0.176,128,0.064,-0.786889779601124,0.0266107233490001,"Small"
"Saturated First Stage",-3.47801925808861,1.40043095374707,0.000263552553756688,-0.741482462633008,0.0806921530847858,352,0.176,210,0.105,-0.786889779601124,0.0806921530847858,"Small"
"Forest",-7.66816671277745,7.53679178485783,8.72360133384022e-15,0.17938024511064,2.40837240548654e-14,493,0.2465,533,0.2665,0.13489981861158,8.72360133384022e-15,"Small"
"Saturated First Stage",-4.39781531756252,4.98635521783081,6.05890785300566e-06,0.167666498281922,3.07644876096668e-07,493,0.2465,433,0.2165,0.13489981861158,6.05890785300566e-06,"Small"
"Forest",-6.23934052258743,4.80952075560936,2.19709743599544e-10,-0.280453224200714,7.56462933782812e-07,400,0.2,466,0.233,-0.278163019233446,7.56462933782812e-07,"Small"
"Saturated First Stage",-4.10615566879579,3.32796359559497,2.17740379836793e-05,-0.31355790037019,0.000437416487787178,400,0.2,451,0.2255,-0.278163019233446,0.000437416487787178,"Small"
"Forest",-0.828778772265403,4.81321845254988,0.203614801111272,0.818091203395295,7.42593934428422e-07,0,0,84,0.042,0.791356558571417,0.203614801111272,"Small"
