"n_defiers_true","n_defiers_estimated","n_significant_defiers","defier_proportion"
102,0,0,0.11
101,0,0,0.12
135,0,0,0.13
157,0,0,0.14
154,0,0,0.15
158,1,0,0.16
172,0,0,0.17
176,0,0,0.18
171,0,0,0.19
196,1,0,0.2
199,0,0,0.21
197,66,0,0.22
235,6,0,0.23
251,78,0,0.24
257,0,0,0.25
282,55,0,0.26
279,23,0,0.27
286,139,2,0.28
299,61,0,0.29
325,34,0,0.3
305,0,0,0.31
321,7,0,0.32
351,435,11,0.33
317,0,0,0.34
338,126,4,0.35
362,77,0,0.36
370,247,3,0.37
368,15,0,0.38
409,197,0,0.39
398,42,0,0.4
391,209,0,0.41
404,499,18,0.42
413,26,0,0.43
449,333,1,0.44
448,518,7,0.45
477,416,18,0.46
483,770,103,0.47
484,587,3,0.48
486,451,35,0.49
487,569,1,0.5
0,0,0,0
14,0,0,0.01
18,0,0,0.02
25,0,0,0.03
43,0,0,0.04
52,0,0,0.05
61,0,0,0.06
68,0,0,0.07
65,0,0,0.08
86,0,0,0.09
110,0,0,0.1
105,0,0,0.11
134,0,0,0.12
121,0,0,0.13
141,1,0,0.14
170,0,0,0.15
156,0,0,0.16
165,0,0,0.17
195,1,0,0.18
170,0,0,0.19
206,78,0,0.2
199,0,0,0.21
229,8,0,0.22
221,3,0,0.23
236,0,0,0.24
259,0,0,0.25
280,0,0,0.26
285,0,0,0.27
278,90,0,0.28
279,144,0,0.29
309,197,1,0.3
335,63,0,0.31
312,26,0,0.32
328,23,0,0.33
360,292,2,0.34
365,32,0,0.35
359,135,0,0.36
363,97,0,0.37
376,42,0,0.38
395,146,1,0.39
395,5,0,0.4
419,111,0,0.41
410,216,3,0.42
428,695,95,0.43
398,322,26,0.44
445,247,3,0.45
464,767,79,0.46
481,583,51,0.47
489,351,2,0.48
497,565,26,0.49
480,509,24,0.5
0,0,0,0
10,0,0,0.01
23,0,0,0.02
25,0,0,0.03
41,0,0,0.04
51,0,0,0.05
46,0,0,0.06
63,0,0,0.07
69,0,0,0.08
109,0,0,0.09
98,0,0,0.1
95,0,0,0.11
119,0,0,0.12
140,18,0,0.13
160,0,0,0.14
151,0,0,0.15
173,0,0,0.16
173,0,0,0.17
190,0,0,0.18
195,26,0,0.19
213,18,0,0.2
219,219,0,0.21
194,0,0,0.22
221,0,0,0.23
256,0,0,0.24
229,10,0,0.25
267,0,0,0.26
269,82,3,0.27
260,241,3,0.28
302,3,0,0.29
311,135,1,0.3
314,0,0,0.31
319,51,1,0.32
340,5,0,0.33
338,94,0,0.34
352,165,1,0.35
358,0,0,0.36
361,22,0,0.37
364,9,0,0.38
387,428,6,0.39
394,283,0,0.4
420,47,0,0.41
415,5,0,0.42
430,569,25,0.43
453,279,13,0.44
445,79,0,0.45
490,898,173,0.46
478,335,8,0.47
486,53,0,0.48
479,772,81,0.49
498,353,15,0.5
0,0,0,0
9,0,0,0.01
22,0,0,0.02
24,0,0,0.03
41,0,0,0.04
45,0,0,0.05
66,0,0,0.06
65,0,0,0.07
80,2,0,0.08
83,0,0,0.09
112,0,0,0.1
106,1,0,0.11
122,0,0,0.12
143,0,0,0.13
131,0,0,0.14
139,0,0,0.15
154,0,0,0.16
162,0,0,0.17
179,0,0,0.18
200,156,4,0.19
217,0,0,0.2
209,0,0,0.21
201,14,0,0.22
207,0,0,0.23
249,75,0,0.24
229,10,0,0.25
250,137,0,0.26
279,0,0,0.27
266,0,0,0.28
296,0,0,0.29
310,39,0,0.3
312,39,0,0.31
315,74,0,0.32
330,34,0,0.33
344,141,0,0.34
361,333,23,0.35
360,15,0,0.36
363,98,0,0.37
400,10,0,0.38
410,525,5,0.39
424,832,180,0.4
424,573,10,0.41
409,552,34,0.42
449,381,4,0.43
418,211,0,0.44
415,284,1,0.45
467,239,1,0.46
449,358,4,0.47
489,295,2,0.48
481,440,6,0.49
478,318,3,0.5
